variant,jet_bin,met_bin,score_band,observed,met_bin_n,sm_fraction,expected_official_shape,midpoint,shape_correction,expected_shape
lepton_aware_resid,3to4jets,8,q0975_099,101,7110,0.006497471564982287,46.19702282702406,0.9825,2.4319256825615923,112.34772627092394
lepton_aware_resid,3to4jets,8,q099_100,3,7110,0.0002585460554394874,1.8382624541747552,0.995,2.521554320162035,4.63527863291602
lepton_aware_resid,3to4jets,9,q000_050,1022,2870,0.3486697694673708,1000.6822383713543,0.25,0.2916579311079142,291.85691133982584
lepton_aware_resid,3to4jets,9,q050_080,1175,2870,0.37504606211601804,1076.382198272972,0.65,0.9286471359989834,999.5792456664852
lepton_aware_resid,3to4jets,9,q080_090,350,2870,0.14157758479687407,406.3276683670286,0.85,1.6570636483615246,673.3108085745
lepton_aware_resid,3to4jets,9,q090_095,169,2870,0.07613302135313112,218.5017712834863,0.925,2.0589574186401576,449.8858429701491
lepton_aware_resid,3to4jets,9,q095_0975,82,2870,0.034088965552978155,97.8353311370473,0.9625,2.295099152053522,224.54178553351284
lepton_aware_resid,3to4jets,9,q0975_099,42,2870,0.01645221747767089,47.217864160915454,0.9825,2.4319256825615923,114.83033652863486
lepton_aware_resid,3to4jets,9,q099_100,30,2870,0.008032379235956788,23.05292840719598,0.995,2.521554320162035,58.12921121755113
lepton_aware_resid,5plusjets,0,q000_050,608,2225,0.2908879870081151,647.2257710930561,0.25,0.3773832982706894,244.25219622088773
lepton_aware_resid,5plusjets,0,q050_080,409,2225,0.19959415777387565,444.09700104687334,0.65,0.6224862865449324,276.44429304740913
lepton_aware_resid,5plusjets,0,q080_090,233,2225,0.11138238742564134,247.825812022052,0.85,0.79947215932036,198.12983707259153
lepton_aware_resid,5plusjets,0,q090_095,217,2225,0.1053039390881711,234.30126447118067,0.925,0.8781241640329306,205.7456019956141
lepton_aware_resid,5plusjets,0,q095_0975,223,2225,0.10126425583791687,225.31296923936503,0.9625,0.9203059289821081,207.35686146755097
