outcome,feature_set,model,scheme,n,r2,mae,rmse,corr
Z_capped_3,baseline_metadata,huber,ATLAS_train_CMS_test,197,-0.24145066733665455,1.0602998298421766,1.3152698874567779,-0.10873003680356867
Z_capped_3,baseline_metadata,huber,CMS_train_ATLAS_test,555,-0.003956154787777999,1.3873870721395272,1.7145194692046473,-0.08816384180714454
Z_capped_3,baseline_metadata,forest,GroupKFold_by_analysis,752,-0.032956785897521046,1.2833607505282982,1.6153246095862197,-0.0703221543862544
Z_capped_3,baseline_metadata,forest,ATLAS_train_CMS_test,197,-0.030346170804862682,0.9371611803977358,1.1982342379306217,-0.001484009862963562
Z_capped_3,baseline_metadata,forest,CMS_train_ATLAS_test,555,0.002649335579108736,1.3830479981327017,1.7088698540216403,0.06216659377168131
Z_capped_3,current_B_rare,ols,GroupKFold_by_analysis,752,0.005405160414470811,1.2583529941598217,1.5850458664240845,0.12844342144160303
Z_capped_3,current_B_rare,ols,ATLAS_train_CMS_test,197,0.03353708988782833,0.8796444668554132,1.1604935740522906,0.1840841595366668
Z_capped_3,current_B_rare,ols,CMS_train_ATLAS_test,555,0.03519440763277937,1.367592653623255,1.6807570976546207,0.217474902557325
Z_capped_3,current_B_rare,ridge,GroupKFold_by_analysis,752,0.005562277849236685,1.2557361486389416,1.5849206656053136,0.11083240096606109
Z_capped_3,current_B_rare,ridge,ATLAS_train_CMS_test,197,0.014097440166204733,0.8911984166570733,1.1721066804431424,0.12095767398608903
Z_capped_3,current_B_rare,ridge,CMS_train_ATLAS_test,555,0.0361070678016332,1.372126083718536,1.6799619514595392,0.21678619842794564
Z_capped_3,current_B_rare,elasticnet,GroupKFold_by_analysis,752,0.0009162334936551053,1.2540389489192154,1.5886187508776337,0.09566852366013107
Z_capped_3,current_B_rare,elasticnet,ATLAS_train_CMS_test,197,0.02335288428827642,0.8806178982559711,1.1665919627174297,0.16063236362969582
Z_capped_3,current_B_rare,elasticnet,CMS_train_ATLAS_test,555,0.03769054425928009,1.370121634837476,1.6785814694886767,0.21663720335157224
Z_capped_3,current_B_rare,huber,GroupKFold_by_analysis,752,-0.02243682894480048,1.269099817141304,1.6070780724589435,0.11949607312058642
Z_capped_3,current_B_rare,huber,ATLAS_train_CMS_test,197,-0.002781411232384956,0.9059311294651989,1.182097452719559,0.13644305856977879
